迭代,目标值,资源缺口,总资源需求,均衡系数,资源冗余,任务组数
249,3737.253090218286,0,30,0.07072530902182864,30,3
251,3737.253090218286,0,30,0.07072530902182864,30,3
252,3737.253090218286,0,30,0.07072530902182864,30,3
254,3737.253090218286,0,30,0.07072530902182864,30,3
256,3867.7072043914463,0,29,0.09377072043914464,30,3
257,3867.7072043914463,0,29,0.09377072043914464,30,3
258,3997.092130858679,0,30,0.0967092130858679,30,3
259,3453.793865689159,0,31,0.03237938656891586,30,3
260,3453.793865689159,0,31,0.03237938656891586,30,3
261,3453.793865689159,0,31,0.03237938656891586,30,3
263,3453.793865689159,0,31,0.03237938656891586,30,3
264,3453.793865689159,0,31,0.03237938656891586,30,3
266,3737.253090218286,0,30,0.07072530902182864,30,3
267,3737.253090218286,0,30,0.07072530902182864,30,3
268,3737.253090218286,0,30,0.07072530902182864,30,3
269,3737.253090218286,0,30,0.07072530902182864,30,3
270,3737.253090218286,0,30,0.07072530902182864,30,3
271,3737.253090218286,0,30,0.07072530902182864,30,3
273,3737.253090218286,0,30,0.07072530902182864,30,3
274,3737.253090218286,0,30,0.07072530902182864,30,3
275,3581.0919574528143,0,29,0.06510919574528143,30,3
277,3270.6578989860946,0,29,0.034065789898609436,30,3
278,3270.6578989860946,0,29,0.034065789898609436,30,3
281,3270.6578989860946,0,29,0.034065789898609436,30,3
282,3270.6578989860946,0,29,0.034065789898609436,30,3
283,3270.6578989860946,0,29,0.034065789898609436,30,3
285,3270.6578989860946,0,29,0.034065789898609436,30,3
286,3270.6578989860946,0,29,0.034065789898609436,30,3
288,3270.6578989860946,0,29,0.034065789898609436,30,3
290,3270.6578989860946,0,29,0.034065789898609436,30,3
291,3270.6578989860946,0,29,0.034065789898609436,30,3
292,3270.6578989860946,0,29,0.034065789898609436,30,3
294,3270.6578989860946,0,29,0.034065789898609436,30,3
296,3270.6578989860946,0,29,0.034065789898609436,30,3
299,3270.6578989860946,0,29,0.034065789898609436,30,3
300,3270.6578989860946,0,29,0.034065789898609436,30,3
