K,分区编码,资源缺口,资源配置总规模,工作量均衡系数,组内冗余
2,0001010000110,3,22,0.541617,11
2,0001010000111,4,24,0.453471,10
2,0001010001000,3,22,0.651545,11
2,0001010001001,2,19,0.563399,13
2,0001010001010,5,25,0.570583,10
2,0001010001011,3,22,0.482437,11
2,0001010001100,2,19,0.546059,13
2,0001010001101,4,23,0.457913,11
2,0001010001110,3,22,0.465097,11
2,0001010001111,4,23,0.376951,11
2,0001010010000,3,22,0.639175,11
2,0001010010001,2,20,0.551029,12
2,0001010010010,4,24,0.558213,10
2,0001010010011,3,22,0.470067,11
2,0001010010100,2,20,0.533688,12
2,0001010010101,4,24,0.445542,10
2,0001010010110,3,22,0.452726,11
2,0001010010111,4,24,0.36458,10
2,0001010011000,3,22,0.562654,11
2,0001010011001,2,19,0.474508,13
2,0001010011010,5,25,0.481692,10
2,0001010011011,3,22,0.393546,11
2,0001010011100,2,19,0.457168,13
2,0001010011101,4,23,0.369022,11
2,0001010011110,3,22,0.376206,11
2,0001010011111,4,22,0.28806,12
2,0001010100000,3,21,0.526915,12
2,0001010100001,3,21,0.438769,12
2,0001010100010,5,25,0.445953,10
2,0001010100011,4,22,0.357807,12
2,0001010100100,4,22,0.421428,12
2,0001010100101,5,25,0.333282,10
2,0001010100110,4,22,0.340466,12
2,0001010100111,5,25,0.25232,10
2,0001010101000,4,24,0.450394,10
2,0001010101001,3,21,0.362248,12
2,0001010101010,6,26,0.369432,10
2,0001010101011,4,23,0.281286,11
2,0001010101100,4,22,0.344908,12
2,0001010101101,5,25,0.256761,10
2,0001010101110,4,23,0.263946,11
2,0001010101111,5,25,0.175799,10
2,0001010110000,4,23,0.438024,11
2,0001010110001,3,21,0.349878,12
2,0001010110010,5,25,0.357062,10
2,0001010110011,4,22,0.268916,12
2,0001010110100,4,22,0.332537,12
2,0001010110101,5,25,0.244391,10
2,0001010110110,4,22,0.251575,12
2,0001010110111,5,25,0.163429,10
2,0001010111000,4,24,0.361503,10
2,0001010111001,3,21,0.273357,12
2,0001010111010,6,26,0.280541,10
2,0001010111011,4,23,0.192395,11
2,0001010111100,4,22,0.256017,12
2,0001010111101,5,24,0.16787,11
2,0001010111110,4,23,0.175055,11
2,0001010111111,5,23,0.086908,12
2,0001011000000,3,21,0.544078,12
2,0001011000001,3,22,0.455932,11
2,0001011000010,5,25,0.463116,10
2,0001011000011,4,23,0.37497,11
2,0001011000100,4,23,0.438592,11
2,0001011000101,6,26,0.350446,10
2,0001011000110,4,23,0.35763,11
2,0001011000111,6,26,0.269484,10
2,0001011001000,4,23,0.467558,11
2,0001011001001,3,21,0.379412,12
2,0001011001010,6,26,0.386596,10
2,0001011001011,4,23,0.29845,11
2,0001011001100,4,22,0.362071,12
2,0001011001101,5,25,0.273925,10
2,0001011001110,4,23,0.281109,11
2,0001011001111,5,25,0.192963,10
2,0001011010000,4,23,0.455187,11
2,0001011010001,3,22,0.367041,11
2,0001011010010,5,25,0.374225,10
2,0001011010011,4,23,0.286079,11
2,0001011010100,4,23,0.349701,11
2,0001011010101,6,26,0.261555,10
2,0001011010110,4,23,0.268739,11
2,0001011010111,6,26,0.180593,10
