candidate_id,lon,lat,agl_m,altitude_msl_m,gateway_link_margin_db,gateway_los_blocked,energy_margin_at_60s_kwh,max_service_s,demand_samples,covered_samples,coverage_ratio,backhaul_available,backhaul_margin_db
P0057,109.22742882717726,23.018775275994358,150.0,318.03150939941406,24.44893020016181,False,2.474152646354532,8157.226842614829,81,34,0.41975308641975306,True,24.44893020016181
P0058,109.22742882717726,23.018775275994358,300.0,468.03150939941406,24.44893020016181,False,2.4608251000582353,8113.609418372405,81,43,0.5308641975308642,True,24.44893020016181
P0059,109.22742882717726,23.032340851988714,60.0,256.9298095703125,7.453496080626621,True,2.416958071856803,7970.044598804081,81,23,0.2839506172839506,True,7.453496080626621
P0060,109.22742882717726,23.032340851988714,150.0,346.9298095703125,17.45349608062662,False,2.408961544079025,7943.874144258626,81,37,0.4567901234567901,True,17.45349608062662
P0061,109.22742882717726,23.032340851988714,300.0,496.9298095703125,17.45349608062662,False,2.3956339977827286,7900.256720016202,81,46,0.5679012345679012,True,17.45349608062662
P0062,109.22742882717726,23.04590642798307,60.0,264.040771484375,3.58487514132014,True,2.342368252868312,7725.932463932658,81,23,0.2839506172839506,True,3.58487514132014
P0063,109.22742882717726,23.04590642798307,150.0,354.040771484375,13.58487514132014,False,2.344798219872594,7733.8850832193975,81,25,0.30864197530864196,True,13.58487514132014
P0064,109.22742882717726,23.04590642798307,300.0,504.040771484375,13.58487514132014,False,2.3314706735762973,7690.2676589769735,81,36,0.4444444444444444,True,13.58487514132014
P0065,109.22742882717726,23.059472003977426,60.0,289.7890625,0.9109154748254156,True,2.280542045058485,7523.592147464132,81,17,0.20987654320987653,True,0.9109154748254156
P0066,109.22742882717726,23.059472003977426,150.0,379.7890625,0.9109154748254156,True,2.278789529119644,7517.856640755197,81,22,0.2716049382716049,True,0.9109154748254156
P0067,109.22742882717726,23.059472003977426,300.0,529.7890625,10.910915474825416,False,2.2654619828233473,7474.239216512773,81,34,0.41975308641975306,True,10.910915474825416
P0068,109.22742882717726,23.073037579971782,300.0,563.0389099121094,8.867264409057938,False,2.1987163341887532,7255.798911890463,81,32,0.3950617283950617,True,8.867264409057938
P0069,109.22742882717726,23.086603155966138,300.0,657.1490783691406,7.213245433050744,False,2.126529406332267,7019.550784360147,81,28,0.345679012345679,True,7.213245433050744
