option_id,candidate_id,covered_demand_ids,service_start_s,service_end_s,launch_start_s,relay_ready_s,return_end_s,resource_end_s,charge_start_s,charge_end_s,energy_kwh,soc_after
SO-00245,P0064,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1665.2680494441356,2246.017937011719,3582.301176706508,3882.301176706508,3882.301176706508,4583.653838680144,0.49563732178125647,0.8451133369433573
SO-00246,P0064,"[""D-T005-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1665.2680494441356,2246.017937011719,4721.186818055461,5021.186818055461,5021.186818055461,5863.9115691896,0.843630156637881,0.7363655760506622
SO-00247,P0064,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3214.71704358476,3795.4669311523435,4721.186818055461,5021.186818055461,5021.186818055461,5671.575452729436,0.3701874084282457,0.8843164348661732
SO-00248,P0064,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6202.770429815228,6783.520317382812,7800.782132560099,8100.782132560099,8100.782132560099,8762.53404478894,0.3981585531786862,0.8755754521316605
SO-00249,P0064,"[""D-T016-01""]",8657.740901692707,9202.37374957015,8076.991014125124,8657.740901692707,9604.485368094765,9904.485368094765,9904.485368094765,10557.483824703071,0.37661158549736623,0.882308879532073
SO-00250,P0065,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3148.0457760225536,3795.4669311523435,4770.0037765356365,5070.0037765356365,5070.0037765356365,5741.082166544973,0.42111603694605826,0.8684012384543568
SO-00251,P0065,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6136.099162253023,6783.520317382812,7849.599091040274,8149.599091040274,8149.599091040274,8832.040758604477,0.44908718169649875,0.8596602557198442
SO-00252,P0066,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,95.0698462536738,744.4939412434896,1596.775732033833,1896.775732033833,1896.775732033833,2552.2107055957754,0.3826091656909348,0.8804346357215829
SO-00253,P0066,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3146.0428361625277,3795.4669311523435,4779.506716395663,5079.506716395663,5079.506716395663,5751.297066005153,0.42286855288489955,0.8678535772234689
SO-00254,P0066,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6134.096222392996,6783.520317382812,7859.1020309003,8159.1020309003,8159.1020309003,8842.255658064656,0.45083969763534004,0.8591125944889563
SO-00255,P0067,"[""D-T022-01""]",744.4939412434896,1136.3442151690172,57.5698462536738,744.4939412434896,1646.775732033833,1946.775732033833,1946.775732033833,2607.625021278646,0.39593671198723107,0.8762697775039903
SO-00256,P0067,"[""D-T022-01"", ""D-T004-01""]",744.4939412434896,1599.0794106485098,57.5698462536738,744.4939412434896,2109.5109275133254,2409.5109275133254,2409.5109275133254,3127.8004363358878,0.537328021717076,0.8320849932134138
SO-00257,P0067,"[""D-T022-01"", ""D-T004-01"", ""D-T005-01""]",744.4939412434896,3180.1895581818935,57.5698462536738,744.4939412434896,3690.6210750467094,3990.6210750467094,3990.6210750467094,4905.176860863433,1.0204450112411654,0.6811109339871358
SO-00258,P0067,"[""D-T004-01""]",750.5149475097656,1599.0794106485098,63.590852519949806,750.5149475097656,2109.5109275133254,2409.5109275133254,2409.5109275133254,3127.0530371205427,0.5354882698023806,0.832659915686756
SO-00259,P0067,"[""D-T004-01"", ""D-T005-01""]",750.5149475097656,3180.1895581818935,63.590852519949806,750.5149475097656,3690.6210750467094,3990.6210750467094,3990.6210750467094,4904.429461648087,1.01860525932647,0.6816858564604782
SO-00260,P0067,"[""D-T004-01"", ""D-T005-01"", ""D-T010-01""]",750.5149475097656,4319.0751995308465,63.590852519949806,750.5149475097656,4829.506716395663,5129.506716395663,5129.506716395663,6184.687192157545,1.3665980941830946,0.572938095567783
SO-00261,P0067,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1559.0938420219031,2246.017937011719,3690.6210750467094,3990.6210750467094,3990.6210750467094,4718.789767638731,0.5616460125342067,0.8244856210830604
SO-00262,P0067,"[""D-T005-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1559.0938420219031,2246.017937011719,4829.506716395663,5129.506716395663,5129.506716395663,5999.0474981481875,0.9096388473908311,0.7157378601903652
SO-00263,P0067,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3108.5428361625277,3795.4669311523435,4829.506716395663,5129.506716395663,5129.506716395663,5806.711381688024,0.43619609918119584,0.8636887190058763
SO-00264,P0067,"[""D-T011-01""]",6783.520317382812,7398.670514035484,6096.596222392996,6783.520317382812,7909.1020309003,8209.1020309003,8209.1020309003,8897.669973747526,0.46416724393163633,0.8549477362713637
SO-00265,P0067,"[""D-T016-01""]",8657.740901692707,9202.37374957015,7970.816806702891,8657.740901692707,9712.805266434965,10012.805266434965,10012.805266434965,10692.619753661656,0.44262027625031636,0.8616811636717762
SO-00266,P0068,"[""D-T005-01""]",2246.017937011719,3180.1895581818935,1450.9339880179941,2246.017937011719,3801.5517496682937,4101.551749668293,4101.551749668293,4856.835862018119,0.6283916611688009,0.8036276058847498
SO-00267,P0068,"[""D-T005-01"", ""D-T008-01""]",2246.017937011719,3775.212635139854,1450.9339880179941,2246.017937011719,4396.574826626254,4696.574826626254,4696.574826626254,5525.720310508188,0.8102042680170665,0.7468111662446668
SO-00268,P0068,"[""D-T005-01"", ""D-T008-01"", ""D-T010-01""]",2246.017937011719,4319.0751995308465,1450.9339880179941,2246.017937011719,4940.437391017247,5240.437391017247,5240.437391017247,6137.093592527576,0.9763844960254253,0.6948798449920546
SO-00269,P0068,"[""D-T008-01""]",3138.8371114095053,3775.212635139854,2343.7531624157805,3138.8371114095053,4396.574826626254,4696.574826626254,4696.574826626254,5414.892930352907,0.5373984091732984,0.8320629971333442
SO-00270,P0068,"[""D-T008-01"", ""D-T010-01""]",3138.8371114095053,4319.0751995308465,2343.7531624157805,3138.8371114095053,4940.437391017247,5240.437391017247,5240.437391017247,6026.266212372295,0.7035786371816573,0.7801316758807322
SO-00271,P0068,"[""D-T008-01"", ""D-T010-01"", ""D-T015-01""]",3138.8371114095053,5358.54501329219,2343.7531624157805,3138.8371114095053,5979.90720477859,6279.90720477859,6279.90720477859,7194.767435307139,1.0211944136087343,0.6808767457472705
SO-00272,P0068,"[""D-T010-01""]",3795.4669311523435,4319.0751995308465,3000.3829821586187,3795.4669311523435,4940.437391017247,5240.437391017247,5240.437391017247,5944.7574760674115,0.50294174781579,0.8428307038075656
SO-00273,P0068,"[""D-T010-01"", ""D-T015-01""]",3795.4669311523435,5358.54501329219,3000.3829821586187,3795.4669311523435,5979.90720477859,6279.90720477859,6279.90720477859,7113.2586990022555,0.8205575242428671,0.743575773674104
SO-00274,P0068,"[""D-T010-01"", ""D-T015-01"", ""D-T009-01""]",3795.4669311523435,6158.850504067286,3000.3829821586187,3795.4669311523435,6780.212695553687,7080.212695553687,7080.212695553687,8012.90766649683,1.0650953130908134,0.6671577146591208
SO-00275,P0068,"[""D-T015-01""]",4563.936444091797,5358.54501329219,3768.8524950980723,4563.936444091797,5979.90720477859,6279.90720477859,6279.90720477859,7017.867084114805,0.5857473952891452,0.8169539389721421
