sid,gtype,payload_probe_kg,full_payload_kg,range_empty_m,range_half_payload_m,range_max_payload_m,range_empty_endpoint_error_m,range_full_endpoint_error_m,range_positive,range_nonincreasing,range_empty_endpoint,range_full_endpoint,energy_outbound_empty_kwh,energy_outbound_probe_kwh,energy_outbound_full_kwh,energy_return_empty_kwh,energy_return_probe_kwh,return_payload_check_kg,return_payload_is_zero,return_energy_direct_q0_kwh,return_energy_actual_kwh,return_energy_matches_q0,energy_roundtrip_full_kwh,energy_limit_after_reserve_kwh,full_load_margin_kwh,full_load_roundtrip_feasible,rho,energy_nonnegative
S011,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.5485936562807655,0.6904392939895619,0.6904392939895619,0.5262563106017532,0.5262563106017532,0.0,True,0.5262563106017532,0.5262563106017532,True,1.216695604591315,3.6,2.383304395408685,True,0.2,True
S011,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.4413068130587453,0.7605438637562912,0.7605438637562912,0.420564992071091,0.420564992071091,0.0,True,0.420564992071091,0.420564992071091,True,1.1811088558273823,3.2,2.018891144172618,True,0.2,True
S011,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,0.9066035983638523,1.963337036903035,1.963337036903035,0.884298163178667,0.884298163178667,0.0,True,0.884298163178667,0.884298163178667,True,2.847635200081702,6.4,3.5523647999182986,True,0.2,True
S012,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.4050851170116228,1.7645123854628602,1.7645123854628602,1.3648302559005117,1.3648302559005117,0.0,True,1.3648302559005117,1.3648302559005117,True,3.1293426413633716,3.6,0.4706573586366285,True,0.2,True
S012,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,1.1254174231796101,1.9490905175684892,1.9490905175684892,1.0880379092907213,1.0880379092907213,0.0,True,1.0880379092907213,1.0880379092907213,True,3.0371284268592103,3.2,0.16287157314078993,True,0.2,True
S012,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,2.3477446760131144,5.085094560260759,5.085094560260759,2.307547321846448,2.307547321846448,0.0,True,2.307547321846448,2.307547321846448,True,7.392641882107208,6.4,-0.9926418821072076,False,0.2,True
S013,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,0.9440322421461999,1.1877385719899216,1.1877385719899216,0.8847482915289159,0.8847482915289159,0.0,True,0.8847482915289159,0.8847482915289159,True,2.0724868635188374,3.6,1.5275131364811627,True,0.2,True
S013,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.7589260551165973,1.3088749231861154,1.3088749231861154,0.7038766724005479,0.7038766724005479,0.0,True,0.7038766724005479,0.7038766724005479,True,2.0127515955866633,3.2,1.187248404413337,True,0.2,True
S013,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.562656807742151,3.384165441117845,3.384165441117845,1.5034575484828916,1.5034575484828916,0.0,True,1.5034575484828916,1.5034575484828916,True,4.887622989600736,6.4,1.5123770103992644,True,0.2,True
S014,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.0978972590359024,1.3855359962468863,1.3855359962468863,1.0387985707642975,1.0387985707642975,0.0,True,1.0387985707642975,1.0387985707642975,True,2.4243345670111838,3.6,1.1756654329888163,True,0.2,True
S014,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.8879244518463668,1.5209567346011212,1.5209567346011212,0.8330470984513051,0.8330470984513051,0.0,True,0.8330470984513051,0.8330470984513051,True,2.354003833052426,3.2,0.845996166947574,True,0.2,True
S014,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.7894091969971475,3.874332612853738,3.874332612853738,1.7303949354230734,1.7303949354230734,0.0,True,1.7303949354230734,1.7303949354230734,True,5.604727548276811,6.4,0.7952724517231893,True,0.2,True
S015,A,25.0,25.0,25000.0,23232.23304703363,20000.0,0.0,0.0,True,True,True,True,1.1980403666119865,1.5101435505758534,1.5101435505758534,1.1062561073527273,1.1062561073527273,0.0,True,1.1062561073527273,1.1062561073527273,True,2.6163996579285804,3.6,0.9836003420714197,True,0.2,True
S015,B,30.0,30.0,28000.0,23757.359312880715,16000.0,0.0,0.0,True,True,True,True,0.9666836558824607,1.660213667017131,1.660213667017131,0.88145541514172,0.88145541514172,0.0,True,0.88145541514172,0.88145541514172,True,2.541669082158851,3.2,0.6583309178411492,True,0.2,True
S015,C,80.0,80.0,26000.0,21050.25253169417,12000.0,0.0,0.0,True,True,True,True,1.9643844380761109,4.2535637100873265,4.2535637100873265,1.8727312991872218,1.8727312991872218,0.0,True,1.8727312991872218,1.8727312991872218,True,6.126295009274548,6.4,0.2737049907254523,True,0.2,True
