任务组数,迭代,目标值,资源缺口,总资源需求,通信风险均衡系数,工作量均衡系数
2,183,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,185,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,188,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,189,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,190,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,191,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,192,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,193,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,194,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,195,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,196,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,198,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,199,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,200,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,203,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,204,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,208,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,209,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,210,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,211,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,213,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,216,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,217,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,219,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,220,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,221,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,222,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,223,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,224,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,225,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,226,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,229,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,232,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,233,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,235,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,238,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,239,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,240,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,241,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,242,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,244,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,245,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,247,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,248,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,249,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
2,250,4168.297095298592,0,23,0.08854464525711146,0.0067404190156362485
3,1,22146.210503584265,0,28,0.6565380298080602,0.6185449907423062
3,4,22146.210503584265,0,28,0.6565380298080602,0.6185449907423062
3,5,22146.210503584265,0,28,0.6565380298080602,0.6185449907423062
3,6,20484.196635489374,0,31,0.6565380298080602,0.4223436039328169
3,7,20484.196635489374,0,31,0.6565380298080602,0.4223436039328169
3,9,20484.196635489374,0,31,0.6565380298080602,0.4223436039328169
3,12,19989.064534188154,0,32,0.7055183657234807,0.26486972197185404
